Weight,Transport_Mode,Fare,Origin_Location,Origin_pincode,Destination_Location,Destination_pincode,Distance
1,Air,106,Mumbai,400001,Pune,411001,150
1,Surface,71,Mumbai,400001,Pune,411001,150
5,Air,416,Mumbai,400001,Nagpur,440001,838
5,Surface,223,Mumbai,400001,Nagpur,440001,838
4,Air,453,Mumbai,400001,Bhopal,462001,776
4,Surface,289,Mumbai,400001,Bhopal,462001,776
2,Air,253,Mumbai,400001,Indore,452001,585
2,Surface,164,Mumbai,400001,Indore,452001,585
3,Air,299,Mumbai,400001,Kolkata,700001,1967
3,Surface,204,Mumbai,400001,Kolkata,700001,1967
2,Air,253,Mumbai,400001,Varanasi,221001,1425
2,Surface,164,Mumbai,400001,Varanasi,221001,1425
4,Air,453,Mumbai,400001,Dehradun,248001,1574
4,Surface,298,Mumbai,400001,Dehradun,248001,1574
4,Air,453,Mumbai,400001,Gairsain,246421,1745
4,Surface,298,Mumbai,400001,Gairsain,246421,1745
3,Air,353,Mumbai,400001,Visakhapatnam,530001,1280
3,Surface,229,Mumbai,400001,Visakhapatnam,530001,1280
2,Air,273,Mumbai,400001,Itanagar,791111,3039
2,Surface,202,Mumbai,400001,Itanagar,791111,3039
1,Air,165,Mumbai,400001,Dispur,781005,2676
1,Surface,106,Mumbai,400001,Dispur,781005,2676
1,Air,151,Mumbai,400001,Patna,800001,1681
1,Surface,96,Mumbai,400001,Patna,800001,1681
5,Air,587,Mumbai,400001,Raipur,492001,1094
5,Surface,272,Mumbai,400001,Raipur,492001,1094
5,Air,587,Mumbai,400001,Panaji,403001,579
5,Surface,289,Mumbai,400001,Panaji,403001,579
12,Air,1627,Mumbai,400001,Gandhinagar,382010,525
12,Surface,499,Mumbai,400001,Gandhinagar,382010,525
15,Air,1170,Mumbai,400001,Ahmedabad,380001,525
15,Surface,626,Mumbai,400001,Ahmedabad,380001,525
7,Air,900,Mumbai,400001,Chandigarh,160017,1419
7,Surface,357,Mumbai,400001,Chandigarh,160017,1419
9,Air,1519,Mumbai,400001,Shimla,171001,1674
9,Surface,425,Mumbai,400001,Shimla,171001,1674
11,Air,1495,Mumbai,400001,Ranchi,834001,1747
11,Surface,432,Mumbai,400001,Ranchi,834001,1747
11.5,Air,1400,Mumbai,400001,Bengaluru,560001,984
11.5,Surface,450,Mumbai,400001,Bengaluru,560001,984
9.5,Air,1601,Mumbai,400001,Thiruvananthapuram,695001,1376
9.5,Surface,425,Mumbai,400001,Thiruvananthapuram,695001,1376
8,Air,1355,Mumbai,400001,Kozhikode,673001,1346
8,Surface,425,Mumbai,400001,Kozhikode,673001,1346
7,Air,900,Mumbai,400001,Bhubaneswar,751001,1697
7,Surface,357,Mumbai,400001,Bhubaneswar,751001,1697
6,Air,784,Mumbai,400001,Jaipur,302001,1149
6,Surface,314,Mumbai,400001,Jaipur,302001,1149
5,Air,587,Mumbai,400001,Kota,324001,1007
5,Surface,272,Mumbai,400001,Kota,324001,1007
4,Air,489,Mumbai,400001,Gangtok,737101,2466
4,Surface,321,Mumbai,400001,Gangtok,737101,2466
3,Air,299,Mumbai,400001,Chennai,600001,1338
3,Surface,207,Mumbai,400001,Chennai,600001,1338
2,Air,253,Mumbai,400001,Coimbatore,641001,1439
2,Surface,164,Mumbai,400001,Coimbatore,641001,1439
1,Air,151,Mumbai,400001,Hyderabad,500001,712
1,Surface,96,Mumbai,400001,Hyderabad,500001,712
1,Air,165,Mumbai,400001,Agartala,799001,3279
1,Surface,114,Mumbai,400001,Agartala,799001,3279
2,Air,253,Mumbai,400001,Lucknow,226001,1253
2,Surface,164,Mumbai,400001,Lucknow,226001,1253
3,Air,353,Mumbai,400001,Kanpur,208001,1187
3,Surface,229,Mumbai,400001,Kanpur,208001,1187
4,Air,453,Mumbai,400001,Varanasi,221001,1425
4,Surface,272,Mumbai,400001,Varanasi,221001,1425
4.5,Air,533,Mumbai,400001,Dehradun,248001,1574
4.5,Surface,332,Mumbai,400001,Dehradun,248001,1574
5.5,Air,769,Mumbai,400001,Gairsain,246421,1745
5.5,Surface,404,Mumbai,400001,Gairsain,246421,1745
7.2,Air,928,Mumbai,400001,Kolkata,700001,1967
3.5,Surface,234,Mumbai,400001,Kolkata,700001,1967
2.3,Air,258,Mumbai,400001,New Delhi,110001,1421
2.5,Surface,175,Mumbai,400001,New Delhi,110001,1421
5,Air,587,Amaravati,431001,Visakhapatnam,530001,1280
5,Surface,285,Amaravati,431001,Visakhapatnam,530001,1280
6,Air,1034,Amaravati,431001,Itanagar,791111,3039
6,Surface,429,Amaravati,431001,Itanagar,791111,3039
7,Air,1085,Amaravati,431001,Dispur,781005,2676
7,Surface,429,Amaravati,431001,Dispur,781005,2676
8,Air,1106,Amaravati,431001,Patna,800001,1681
8,Surface,383,Amaravati,431001,Patna,800001,1681
9,Air,1313,Amaravati,431001,Raipur,492001,1094
9,Surface,456,Amaravati,431001,Raipur,492001,1094
10,Air,1445,Amaravati,431001,Panaji,403001,579
10,Surface,450,Amaravati,431001,Panaji,403001,579
20,Air,2765,Amaravati,431001,Gandhinagar,382010,525
20,Surface,763,Amaravati,431001,Gandhinagar,382010,525
20,Air,2765,Amaravati,431001,Ahmedabad,380001,525
20,Surface,823,Amaravati,431001,Ahmedabad,380001,525
5,Air,587,Amaravati,431001,Chandigarh,160017,1419
5,Surface,270,Amaravati,431001,Chandigarh,160017,1419
4,Air,489,Amaravati,431001,Shimla,171001,1674
