,Weight,Transport_Mode,Fare,Origin_Location,Origin_pincode,Destination_Location,Destination_pincode,Distance,Mode
0,1.0,Air,106.0,Mumbai,400001,Pune,411001,149.81,1
1,1.0,Surface,70.8,Mumbai,400001,Pune,411001,149.81,2
2,5.0,Air,415.8,Mumbai,400001,Nagpur,440001,837.91,1
3,5.0,Surface,222.66,Mumbai,400001,Nagpur,440001,837.91,2
4,4.0,Air,453.33,Mumbai,400001,Bhopal,462001,776.31,1
5,4.0,Surface,289.12,Mumbai,400001,Bhopal,462001,776.31,2
6,2.0,Air,253.29,Mumbai,400001,Indore,452001,585.41,1
7,2.0,Surface,164.02,Mumbai,400001,Indore,452001,585.41,2
8,3.0,Air,298.54,Mumbai,400001,Kolkata,700001,1966.71,1
9,3.0,Surface,204.14,Mumbai,400001,Kolkata,700001,1966.71,2
10,2.0,Air,253.29,Mumbai,400001,Varanasi,221001,1425.31,1
11,2.0,Surface,164.02,Mumbai,400001,Varanasi,221001,1425.31,2
12,4.0,Air,453.33,Mumbai,400001,Dehradun,248001,1573.51,1
13,4.0,Surface,298.42,Mumbai,400001,Dehradun,248001,1573.51,2
14,4.0,Air,453.33,Mumbai,400001,Gairsain,246421,1745.41,1
15,4.0,Surface,298.42,Mumbai,400001,Gairsain,246421,1745.41,2
16,3.0,Air,353.31,Mumbai,400001,Visakhapatnam,530001,1280.11,1
17,3.0,Surface,228.92,Mumbai,400001,Visakhapatnam,530001,1280.11,2
18,2.0,Air,273.17,Mumbai,400001,Itanagar,791111,3038.71,1
19,2.0,Surface,201.78,Mumbai,400001,Itanagar,791111,3038.71,2
20,1.0,Air,165.17,Mumbai,400001,Dispur,781005,2675.71,1
21,1.0,Surface,106.2,Mumbai,400001,Dispur,781005,2675.71,2
22,1.0,Air,151.0,Mumbai,400001,Patna,800001,1680.81,1
23,1.0,Surface,95.58,Mumbai,400001,Patna,800001,1680.81,2
24,5.0,Air,587.0,Mumbai,400001,Raipur,492001,1093.91,1
25,5.0,Surface,271.86,Mumbai,400001,Raipur,492001,1093.91,2
26,5.0,Air,587.0,Mumbai,400001,Panaji,403001,578.71,1
27,5.0,Surface,289.12,Mumbai,400001,Panaji,403001,578.71,2
28,12.0,Air,1627.0,Mumbai,400001,Gandhinagar,382010,524.61,1
29,12.0,Surface,498.98,Mumbai,400001,Gandhinagar,382010,524.61,2
